musica|artista|compositor|letra
Eu Não Sou Manivela|Ary Barroso| Ary Barroso - 1953| Você não tem nem a metade Do valor que tinha outrora Mudou, mudou, mudou Só chega em casa Pra dormir fora de hora Não suporto mais Manivela é que vai pra frente e pra traz Hoje, vem e me abraça Amanhã, nem me conhece quando passa Não suporto mais Manivela é que vai pra frente e pra traz9472 Ficha técnica da faixa Conjunto  Regional Voz:  Diamantina  Gomes[  Samba - intérprete  Diamantina  Gomes com  Regional -  Odeon 13.387 B ]
Mulata Beleza|Arlindo Cruz| Zé Roberto| Eu também fico o dia todo na janela Esperando aquela mulata mais bela do bairro passar Ela é por demais diferente Nunca vi mulher tão atraente Faz qualquer homem a cuca virar Essa fêmea tem um rebolado que uma sensação Seus cabelos são longos Corpo igual violão Eu sigo seus passos Não sei o que faço Pra cair em seus braços Vou morrer de paixão
Vai Pro Lado de Lá|Candeia| Candeia, Euclenes| Vai pro lado de lá Vai pro lado de lá Vai pro lado de lá, vai sambar Me leva pro lado de lá Segunda-feira, terça-feira Quarta-feira, quinta-feira Sexta-feira, sábado de aleluia Se eu pegar na viola, meu bem O pagode continua Vai pro lado de lá Tem caruru, tem quiabo com galinha Batata com dobradinha Mungunzá e vatapá Tem água doce, água quente, água fria Aguardente de farinha e as águas vão rolar Vai pro lado de lá Vai o  Cartola, vai  Paulinho da  Viola Vai o  Martinho da  Vila Aniceto e o  Darcy Vai o  Xangô, vai  Padeirinho e  Joãozinho Eu também sou partideiro Eu também tenho que ir Vai pro lado de lá
Putz Putz (com Sampa Crew)|Alexandre Pires|no compositor found| Quando eu me lembro Do carro de som Batia aquela saudade Vem anunciando Nesse sabadão Vai ter baile na cidade O suor nas mãos, na mesma canção A gente se entregava Dançando juntinho, rosto coladinho Até de madrugada Vai rolar agora, só anos 70 O dj arrebentava Seleção de lentas, era melhor parte Como eu aproveitava Oportunidade de encontrar quem sabe A minha namorada Mas hoje em dia, na realidade O baile virou balada E hoje só dá putz, putz Putz, putz, putz, putz Isso me deixa putz, putz Putz, putz, putz, putz Espera um tempo, manera ai já estou Sou dj e manda agora Love black tipo soul Black music, sou Tipo show, negro sou Baby black, power chic Lindo is very beautiful Pega tua mina Olha meu compadre Seja gente fina Chega dance de verdade Disco de vinil já ouviu, e curtiu Hip hop, reggae, rock Isto é lovin' you Lovin' you is easy 'case you're beautiful Oportunidade de encontrar quem sabe A minha namorada Mas hoje em dia Na realidade O baile virou balada A saudade é demais Um dia tudo passa O tempo voa a vida vai
Aquarela Mineira|Ary Barroso| Ary Barroso - 1950|" Negras redondas de gordas Levando a comida dos negros suados, Dos negros cansados de capinar; Bate o monjolo a cadência do milho socado.""-  Moleque, olha o gado, inda está no curral Põe prá pastar!"" Roda o engenho de cana, de cana caiana É de manhãzinha… A vida começa, na  Fazenda da  Barrinha Minas  Gerais, ó meu  Minas  Gerais, Se eu pudesse voltar a trinta anos atrás Tocava os meus bois, Fumava escondido entre os cafezais. Ó tempinho bom, que não volta mais! Em  Minas  Gerais, tem ferro, tem ouro, tutu Tem gado  Zebú, Tem também, umas toadas, Alma sonora das quebradas… Encantos das noites de luar... E a história do  Brasil Tem muitas páginas heróicas, imortais Escritas, com sangue mineiro, Salve, o meu estado de  Minas  Gerais! M-1612 Ficha técnica da faixa Leny  Eversong[  Samba -  Odeon 13.019 A e  B - intérprete  Francisco  Alves com  Orquestra ]"
Não Vou Entregar|Belo| Alexandre Lucas/Moleque Chibil/André Lima| Eu estou apaixonadopor alguém que sempre estátodo dia do meu ladosó que eu não posso falarjá existe alguém no meu lugarolha só, oque a vida fezdemorei muito pra chegarmas eu vou esperar minha vezmas não é facileu agora ter que entenderver quem eu amocom alguém que não tem nada a veré tão difícilaguentar esse vazio no meu coraçãomas não vou me entregar a essa solidão
Turma do Funil|Braguinha| Mirabeau/Milton de Oliveira/urgel de Castro| Quando é tão densa a fumaça Que o tempo não passa E a porta do bar já fechou Quando ninguém mais tem dono O garçom tá com sonoe a primeira edição circulou Quando não há mais saudade, nem felicidade Nem sede, nem nada, nem dor Quando não tem mais cadeiratomo uma besteira de pé no balcão Eis que da porta do fundo Do oco do mundo Desponta o cordão Chegou a turma do funil Todo mundo bebe Mas ninguém dorme no ponto Rah !  Rah! Mais ninguém dorme no ponto Nós é que bebemose eles que ficam tontos, morou Eu bebo sem compromisso É o meu dinheiro Ninguém tem nada com isso Enquanto houver garrafa Enquanto houver barril Presente está a turma do funil
Ela Vive Chorando|Ary Barroso| Ary Barroso / Alvaro S. De Carvalho - 1941| Vejo lágrimas na face rolando Ela vive sofrendo Ela vive chorando Foi desprezada, sem razão Perdeu seu bem Então jurou não amar A mais ninguém Chora - desde que seu bem partiu Chora - ela nunca mais sorriu Ele foi se embora Sabendo que arruinava A felicidade No coração de quem o amava6542 Ficha técnica da faixa Regência:  Simon  Bountman Orquestra  Odeon Voz:  Gilberto  Alves[  Samba -  Odeon 11.947 B -  Intérprete  Gilberto  Alves com  Orquestra  Odeon, regência  Simon  Bountman ]
Cigarra Marrom|Benito Di Paula|no compositor found| Canta, canta, canta Alegra o meu coração Canta, canta, canta Cigarra, minha  Marrom Canta, canta, canta Alegra o meu coração Canta, canta, canta Cigarra Do  Maranhão Seu sorriso é uma beleza Harmonia, é sinfonia em festa São  Luiz no seu coração Cigarra, minha  Marrom Canta pela natureza Canta, que a  Mangueira vem no seu cantar Bumba-meu-boi Oh meu boi-bumbá, ô Quero ouvir a  Cigarra cantar Bumba-meu-boi Oh meu boi-bumbá, ô Quero ouvir a  Cigarra cantar Canta o amor e a saudade,  Cigarra Abre alas pela vida,  Cigarra Bela, o sol te fez morena Cigarra, minha  Marrom Canta o amor, canta a saudade,  Cigarra Abre alas pela vida,  Cigarra Bela, o sol te fez morena Cigarra Do  Maranhão
Dedo Duro|Bezerra da Silva| Walter Coragem/g. Martins/bezerra Da Silva| Fecharam o paletó do dedo duro Pra nunca mais apontar A lei do morro é barra pesada Vacilou levou rajada na idéia de pensar A lei do morro é barra pesada Vacilou levou rajada na idéia de pensar A lei do morro é ver ouvir e calar Ele sabia, quem mandou ele falar Falou de mais e por isso ele dançou Favela quando é favela, não deixa morar delator Fecharam...by  Paulo  André  Godoy
